3539,0
666,0
2694,0
1712,0
1572,0
3201,0
2585,0
1314,1
3268,1
1698,1
1422,1
232,1
3587,0
1559,0
1167,1
607,0
2900,0
193,1
163,0
3347,1
3454,0
372,1
1058,1
1818,0
2599,0
3313,0
1892,0
754,1
776,1
771,0
3523,1
2152,0
2460,1
361,1
3495,1
2076,0
883,0
28,0
1124,1
871,1
2636,0
3581,1
3149,0
1924,1
957,1
1393,0
2284,0
3677,0
3472,0
1134,1
1592,1
100,1
1685,0
10,1
2262,0
2429,0
1095,1
2985,0
1074,1
2684,0
1154,1
2543,0
2715,0
419,1
3187,0
3125,0
2134,1
3081,0
347,1
1840,0
2347,0
1043,1
931,1
1328,0
2899,0
418,1
1320,1
1391,0
589,1
669,1
1164,1
92,1
2808,0
975,0
2551,0
3562,0
649,1
1278,1
3209,0
945,1
2742,0
2247,0
2430,0
3383,0
175,0
1130,1
1447,1
1700,0
3255,0
2667,1
3042,0
3229,0
72,1
559,0
3186,1
3400,0
3524,1
2135,0
2095,0
301,1
2983,0
3254,0
2763,0
1267,1
654,1
391,0
2725,1
2767,0
1634,0
2877,0
2647,0
278,1
1266,0
1653,0
844,1
255,1
2421,1
3666,0
1564,0
944,0
485,0
2192,0
1299,0
2734,0
822,1
1729,0
1392,1
274,0
2982,0
1997,0
853,1
1376,0
1766,0
1015,1
903,1
1004,0
3483,1
2264,0
104,0
674,1
489,1
1753,0
1359,1
3309,1
1142,0
43,1
2761,0
3567,1
1568,0
1465,1
2205,0
1454,0
2881,0
794,1
2570,0
1128,0
202,1
578,0
2146,1
1139,0
1593,0
1114,1
1519,1
896,1
1502,0
1100,0
2567,0
3678,1
1817,0
479,0
148,1
52,0
888,1
1771,0
1666,0
3388,1
2213,1
2043,0
2038,0
2705,1
2787,1
3456,0
611,1
2493,1
3210,0
3611,0
1228,1
2869,0
1726,0
2491,1
1305,1
282,0
3434,0
2530,0
3097,0
1686,1
2223,0
3485,0
1187,1
1709,0
579,1
1917,0
2147,0
36,1
2643,0
2,1
1748,0
1197,1
245,1
1165,1
1449,0
3486,0
895,1
789,1
3113,1
2516,0
1145,0
314,1
2814,0
3072,0
917,1
2501,0
734,1
3561,0
3642,0
2856,0
970,1
752,0
483,1
1122,0
2541,0
1782,0
1542,0
345,1
608,1
257,1
884,1
270,1
1664,0
1550,0
179,1
2712,0
1078,1
764,1
2979,0
950,1
24,1
2053,0
227,1
1581,1
3078,1
1361,0
403,1
3325,0
1946,0
618,0
1557,0
355,1
1013,0
425,0
1691,0
699,1
1655,0
2950,0
2252,1
2687,0
1915,0
2473,1
2739,0
2450,0
720,0
2212,0
2932,0
1889,0
1867,0
2165,0
44,1
1195,1
2255,0
3534,0
1693,1
2701,0
582,1
3673,0
2867,0
1788,0
113,1
2411,0
1657,0
2464,1
2141,0
2323,0
2538,0
1977,0
2992,0
621,1
3511,0
3457,1
2289,0
2407,0
3447,0
3419,0
311,1
3100,0
3499,0
2286,0
1021,1
382,1
2249,0
3341,0
3416,1
1554,0
906,1
1841,0
2383,0
1018,0
1618,0
153,0
1636,0
600,1
1690,0
3316,1
2101,0
2469,0
2143,0
2631,0
2384,0
1998,0
2352,0
2184,0
2202,0
2651,0
820,1
1205,1
775,0
3554,0
1423,1
3508,0
817,0
537,1
3627,0
1836,0
330,0
569,1
3159,0
2409,0
2258,0
1092,1
3266,0
876,0
2717,1
1603,0
1705,0
3011,0
147,1
1121,1
181,1
333,1
